species,name,age
Velociraptor,Cera,66
Brachiosaurus,Longneck,86
Stegosaurus,Cera,14
Spinosaurus,One-eye,4
Triceratops,Rex,84
Tyrannosaurus,Tank,19
Ankylosaurus,Spike,28
Triceratops,Rex,28
Diplodocus,Tiny,8
Velociraptor,Tank,65
Allosaurus,Spiny,40
Triceratops,Cera,89
Velociraptor,Pterry,14
Spinosaurus,Blue,98
Allosaurus,Spiny,49
Tyrannosaurus,Tiny,62
Ankylosaurus,Longneck,66
Brachiosaurus,Spike,46
Velociraptor,Blue,41
Brachiosaurus,Cera,40
Spinosaurus,Tiny,20
Diplodocus,Longneck,7
Allosaurus,Cera,38
Triceratops,Cera,7
Diplodocus,Spike,6
Ankylosaurus,Spike,63
Triceratops,Tank,81
Pterodactyl,Blue,24
Stegosaurus,Rex,76
Velociraptor,Longneck,40
Allosaurus,Longneck,8
Brachiosaurus,Spike,2
Tyrannosaurus,Rex,73
Pterodactyl,Cera,88
Allosaurus,Tiny,9
Velociraptor,Pterry,10
Diplodocus,Cera,66
Tyrannosaurus,Spiny,54
Diplodocus,Rex,62
Triceratops,One-eye,82
Allosaurus,Spiny,88
Pterodactyl,Tank,48
Pterodactyl,Pterry,66
Brachiosaurus,Pterry,21
Tyrannosaurus,Spike,7
Ankylosaurus,Spiny,68
Tyrannosaurus,Cera,1
Spinosaurus,Longneck,13
Triceratops,Tiny,89
Velociraptor,Rex,39
Brachiosaurus,Tank,27
Spinosaurus,Longneck,47
Stegosaurus,Rex,17
Brachiosaurus,Cera,57
Spinosaurus,Rex,82
Brachiosaurus,Spike,38
Pterodactyl,Tank,87
Triceratops,Tank,32
Brachiosaurus,One-eye,95
Stegosaurus,Cera,7
Triceratops,Cera,54
Pterodactyl,Pterry,65
Brachiosaurus,Blue,5
Diplodocus,One-eye,70
Stegosaurus,Rex,70
Brachiosaurus,Tiny,80
Triceratops,Rex,80
Velociraptor,Tiny,35
Velociraptor,Spike,2
Velociraptor,Tank,70
Diplodocus,Pterry,34
Ankylosaurus,One-eye,47
Diplodocus,Rex,24
Triceratops,Pterry,47
Stegosaurus,Pterry,14
Allosaurus,Cera,25
Stegosaurus,Cera,58
Diplodocus,Longneck,50
Stegosaurus,Rex,54
Diplodocus,Tiny,18
Pterodactyl,One-eye,36
Brachiosaurus,Spike,76
Triceratops,Tiny,67
Ankylosaurus,One-eye,30
Allosaurus,Cera,38
Stegosaurus,Blue,64
Triceratops,Pterry,27
Spinosaurus,Blue,3
Tyrannosaurus,Spike,44
Tyrannosaurus,Tiny,82
Spinosaurus,Longneck,7
Triceratops,Pterry,25
Triceratops,One-eye,61
Velociraptor,Cera,41
Triceratops,Spiny,36
Ankylosaurus,Pterry,69
Diplodocus,Blue,81
Diplodocus,Rex,93
Allosaurus,Tank,2
Ankylosaurus,One-eye,5
Velociraptor,Longneck,76
Ankylosaurus,Spike,32
Velociraptor,Blue,2
Stegosaurus,Spiny,18
Pterodactyl,Blue,43
Ankylosaurus,Longneck,72
Tyrannosaurus,Rex,93
Triceratops,Tank,1
Allosaurus,Tank,84
Pterodactyl,One-eye,3
Ankylosaurus,Blue,35
Diplodocus,Pterry,19
Velociraptor,Longneck,89
Brachiosaurus,Tank,9
Ankylosaurus,Rex,31
Tyrannosaurus,Rex,2
Tyrannosaurus,Spike,78
Stegosaurus,Rex,42
Stegosaurus,Spiny,95
Brachiosaurus,Tiny,15
Triceratops,Rex,13
Triceratops,Tank,7
Velociraptor,Cera,85
Brachiosaurus,Cera,71
Stegosaurus,Blue,58
Triceratops,Longneck,71
Diplodocus,Spike,0
Stegosaurus,Tiny,58
Diplodocus,Longneck,33
Ankylosaurus,Tank,6
Pterodactyl,Rex,65
Velociraptor,Cera,60
Tyrannosaurus,Spike,93
Brachiosaurus,Cera,92
Tyrannosaurus,Tank,78
Brachiosaurus,Rex,36
Stegosaurus,Spike,83
Velociraptor,Pterry,81
Pterodactyl,Spike,18
Tyrannosaurus,Blue,43
Diplodocus,Blue,9
Velociraptor,Tank,51
Stegosaurus,Cera,32
Diplodocus,Cera,74
Spinosaurus,Spike,70
Ankylosaurus,Longneck,10
Allosaurus,Rex,50
Spinosaurus,Longneck,11
Stegosaurus,Cera,89
Triceratops,Blue,16
Allosaurus,Blue,56
Diplodocus,Blue,40
Pterodactyl,One-eye,53
Brachiosaurus,Tank,24
Velociraptor,Blue,27
Spinosaurus,Cera,4
Spinosaurus,Rex,51
Spinosaurus,Pterry,69
Spinosaurus,One-eye,9
Tyrannosaurus,Tiny,77
Stegosaurus,One-eye,89
Pterodactyl,Tank,47
Tyrannosaurus,Blue,2
Ankylosaurus,Cera,8
Velociraptor,Spike,68
Pterodactyl,Tiny,68
Allosaurus,Tank,19
Ankylosaurus,One-eye,90
Stegosaurus,Spike,96
Spinosaurus,Blue,39
Pterodactyl,Spiny,30
Tyrannosaurus,Spiny,32
Ankylosaurus,Spiny,57
Ankylosaurus,Pterry,96
Triceratops,Tank,25
Brachiosaurus,One-eye,23
Triceratops,Pterry,26
Spinosaurus,Pterry,36
Spinosaurus,One-eye,86
Tyrannosaurus,One-eye,8
Stegosaurus,Spike,10
Triceratops,Longneck,27
Pterodactyl,Tank,33
Allosaurus,Tank,59
Diplodocus,Rex,73
Ankylosaurus,Spiny,88
Brachiosaurus,Rex,79
Triceratops,Longneck,46
Velociraptor,Longneck,73
Triceratops,One-eye,35
Allosaurus,Cera,99
Allosaurus,Blue,55
Brachiosaurus,One-eye,5
Triceratops,Tank,61
Pterodactyl,Pterry,0
Ankylosaurus,One-eye,5
Pterodactyl,One-eye,98
Allosaurus,Tiny,61
Triceratops,Pterry,89
Ankylosaurus,Cera,53
Stegosaurus,Rex,36
Stegosaurus,Rex,91
Allosaurus,Spiny,17
Stegosaurus,One-eye,92
Allosaurus,Pterry,97
Brachiosaurus,Tank,30
Spinosaurus,Longneck,74
Triceratops,Longneck,50
Spinosaurus,Pterry,38
Allosaurus,Tank,2
Pterodactyl,Cera,10
Pterodactyl,Pterry,99
Velociraptor,Longneck,28
Velociraptor,Pterry,96
Velociraptor,Spike,26
Stegosaurus,Spike,90
Stegosaurus,Rex,61
Diplodocus,One-eye,8
Ankylosaurus,Rex,32
Velociraptor,Blue,6
Triceratops,Blue,62
Velociraptor,Spike,20
Brachiosaurus,Blue,85
Pterodactyl,Pterry,80
Brachiosaurus,Longneck,12
Stegosaurus,Spiny,21
Ankylosaurus,Rex,34
Velociraptor,Pterry,11
Pterodactyl,Spike,36
Diplodocus,Tiny,29
Ankylosaurus,Blue,71
Triceratops,Tank,57
Spinosaurus,One-eye,38
Triceratops,Cera,15
Tyrannosaurus,Blue,81
Triceratops,Tiny,11
Spinosaurus,Spiny,20
Allosaurus,Rex,41
Velociraptor,Tiny,36
Triceratops,Longneck,33
Stegosaurus,Pterry,85
Pterodactyl,Rex,68
Spinosaurus,Rex,91
Spinosaurus,Longneck,99
Diplodocus,Longneck,74
Spinosaurus,Tiny,68
Diplodocus,Blue,45
Tyrannosaurus,Blue,4
Tyrannosaurus,Spike,42
Velociraptor,One-eye,40
Pterodactyl,Pterry,25
Allosaurus,Pterry,47
Tyrannosaurus,One-eye,25
Ankylosaurus,One-eye,35
Tyrannosaurus,Blue,49
Stegosaurus,Spiny,62
Stegosaurus,Tiny,13
Brachiosaurus,Spiny,49
Ankylosaurus,Tiny,63
Velociraptor,Tank,57
Spinosaurus,Longneck,55
Stegosaurus,Pterry,21
Allosaurus,Cera,67
Velociraptor,One-eye,93
Allosaurus,Spiny,72
Spinosaurus,Blue,30
Triceratops,Cera,48
Diplodocus,One-eye,7
Allosaurus,Spiny,41
Ankylosaurus,Tank,87
Brachiosaurus,Tank,30
Spinosaurus,Rex,78
Stegosaurus,Longneck,26
Brachiosaurus,Pterry,78
Ankylosaurus,Pterry,15
Diplodocus,Pterry,87
Velociraptor,Spike,64
Velociraptor,Spiny,50
Triceratops,One-eye,87
Brachiosaurus,One-eye,44
Allosaurus,Tiny,76
Ankylosaurus,Longneck,88
Tyrannosaurus,Rex,73
Pterodactyl,Spike,38
Triceratops,Tank,36
Diplodocus,Tank,69
Pterodactyl,One-eye,35
Triceratops,One-eye,75
Ankylosaurus,Cera,44
Spinosaurus,Cera,82
Pterodactyl,Longneck,2
Velociraptor,One-eye,14
Stegosaurus,Rex,2
Triceratops,Pterry,87
Pterodactyl,Longneck,45
Tyrannosaurus,Spike,64
Pterodactyl,Blue,43
Velociraptor,Rex,95
Allosaurus,Spiny,31
Tyrannosaurus,Rex,27
Ankylosaurus,Tank,50
Tyrannosaurus,Blue,50
Tyrannosaurus,Blue,84
Spinosaurus,Longneck,2
Tyrannosaurus,Longneck,1
Tyrannosaurus,Longneck,33
Pterodactyl,Tank,72
Allosaurus,Spiny,65
Tyrannosaurus,Tank,85
Brachiosaurus,Spike,21
Spinosaurus,Tiny,32
Tyrannosaurus,Spike,25
Velociraptor,Cera,77
Pterodactyl,Pterry,94
Allosaurus,Spike,16
Velociraptor,Tank,44
Ankylosaurus,Rex,65
Brachiosaurus,Blue,25
Diplodocus,Rex,33
Allosaurus,One-eye,59
Ankylosaurus,Rex,43
Velociraptor,Spiny,94
Allosaurus,Rex,21
Diplodocus,Rex,24
Velociraptor,Tiny,24
Ankylosaurus,Blue,16
Triceratops,Tiny,74
Ankylosaurus,Longneck,99
Brachiosaurus,Cera,20
Velociraptor,Longneck,31
Brachiosaurus,Rex,99
Velociraptor,Tiny,0
Diplodocus,Longneck,94
Allosaurus,Rex,46
Triceratops,Spike,66
Triceratops,Blue,92
Stegosaurus,Tiny,68
Diplodocus,Pterry,5
Tyrannosaurus,Tiny,99
Spinosaurus,Tank,83
Ankylosaurus,Spiny,99
Ankylosaurus,One-eye,74
Ankylosaurus,Rex,88
Ankylosaurus,Pterry,94
Diplodocus,Rex,20
Stegosaurus,Cera,55
Stegosaurus,Pterry,1
Spinosaurus,Spike,87
Velociraptor,Spike,59
Tyrannosaurus,Rex,58
Ankylosaurus,One-eye,81
Spinosaurus,Pterry,93
Spinosaurus,Longneck,25
Ankylosaurus,One-eye,6
Velociraptor,Tank,79
Triceratops,Longneck,42
Triceratops,Rex,22
Spinosaurus,Tank,21
Pterodactyl,Longneck,98
Ankylosaurus,Blue,29
Pterodactyl,Cera,1
Diplodocus,One-eye,40
Triceratops,Pterry,12
Diplodocus,Pterry,22
Allosaurus,Longneck,94
Triceratops,Tiny,52
Spinosaurus,Spiny,53
Ankylosaurus,Blue,79
Pterodactyl,Tank,27
Brachiosaurus,Blue,93
Triceratops,Rex,41
Brachiosaurus,Tank,22
Allosaurus,Cera,88
Diplodocus,Spike,67
Stegosaurus,Blue,17
Stegosaurus,Tiny,28
Triceratops,Tank,8
Stegosaurus,Tiny,60
Pterodactyl,Rex,16
Brachiosaurus,Rex,37
Brachiosaurus,Spiny,97
Triceratops,One-eye,32
Allosaurus,Tiny,77
Ankylosaurus,One-eye,42
Brachiosaurus,Spike,97
Pterodactyl,Tiny,27
Velociraptor,Tiny,43
Brachiosaurus,Blue,29
Tyrannosaurus,Rex,16
Velociraptor,Spike,64
Tyrannosaurus,Rex,88
Spinosaurus,Cera,31
Triceratops,Longneck,99
Triceratops,Tiny,9
Pterodactyl,Rex,46
Velociraptor,One-eye,70
Triceratops,Tiny,99
Allosaurus,Pterry,85
Stegosaurus,Rex,99
Ankylosaurus,Spiny,32
Tyrannosaurus,Cera,4
Pterodactyl,Longneck,89
Spinosaurus,Blue,42
Spinosaurus,Rex,94
Brachiosaurus,Tiny,27
Triceratops,One-eye,33
Triceratops,Rex,70
Brachiosaurus,Tiny,57
Tyrannosaurus,Spike,9
Brachiosaurus,Blue,52
Brachiosaurus,Spiny,24
Tyrannosaurus,Rex,95
Brachiosaurus,Longneck,88
Ankylosaurus,Spiny,20
Ankylosaurus,Spiny,0
Spinosaurus,Longneck,98
Velociraptor,Pterry,41
Brachiosaurus,One-eye,98
Triceratops,Pterry,52
Brachiosaurus,Pterry,72
Stegosaurus,Cera,6
Velociraptor,Pterry,39
Diplodocus,Longneck,61
Brachiosaurus,Spike,43
Allosaurus,Tiny,83
Triceratops,Longneck,42
Tyrannosaurus,Pterry,6
Pterodactyl,Rex,58
Pterodactyl,One-eye,6
Allosaurus,Cera,63
Velociraptor,Spike,58
Allosaurus,Pterry,21
Spinosaurus,One-eye,99
Triceratops,Tank,17
Ankylosaurus,Cera,21
Triceratops,Cera,31
Diplodocus,Rex,46
Triceratops,Spiny,31
Stegosaurus,Tank,7
Diplodocus,Longneck,25
Velociraptor,Longneck,7
Pterodactyl,Rex,69
Ankylosaurus,One-eye,43
Ankylosaurus,Rex,52
Pterodactyl,Spike,15
Stegosaurus,Blue,48
Spinosaurus,Tank,11
Triceratops,Tank,0
Allosaurus,Spike,49
Tyrannosaurus,One-eye,40
Triceratops,Tank,9
Allosaurus,Tiny,38
Velociraptor,Longneck,62
Pterodactyl,Longneck,81
Stegosaurus,Spike,39
Brachiosaurus,One-eye,92
Diplodocus,Rex,1
Ankylosaurus,Tiny,36
Spinosaurus,Rex,0
Allosaurus,One-eye,38
Diplodocus,One-eye,57
Velociraptor,Rex,44
Brachiosaurus,Tank,10
Brachiosaurus,Spike,91
Brachiosaurus,Longneck,23
Pterodactyl,Rex,29
Velociraptor,Spike,59
Brachiosaurus,Tank,17
Allosaurus,Cera,32
Diplodocus,One-eye,76
Diplodocus,Tank,30
Spinosaurus,Tank,11
Pterodactyl,One-eye,37
Ankylosaurus,One-eye,15
Spinosaurus,Pterry,16
Velociraptor,Cera,54
Spinosaurus,Tiny,34
Stegosaurus,Cera,63
Spinosaurus,One-eye,41
Brachiosaurus,Longneck,34
Brachiosaurus,Tiny,2
Velociraptor,Cera,33
Allosaurus,Pterry,37
Allosaurus,Spike,81
Allosaurus,One-eye,14
Velociraptor,Spike,61
Allosaurus,Pterry,8
Ankylosaurus,One-eye,77
Tyrannosaurus,Tank,31
Pterodactyl,Blue,69
Brachiosaurus,Blue,38
Pterodactyl,Longneck,37
Diplodocus,Tank,82
Brachiosaurus,Tank,93
Pterodactyl,Blue,93
Ankylosaurus,Spike,1
Stegosaurus,Tank,88
Triceratops,Tank,15
Diplodocus,Pterry,4
Tyrannosaurus,Pterry,18
Brachiosaurus,Spike,80
Ankylosaurus,Tiny,10
Pterodactyl,Pterry,82
Spinosaurus,Blue,11
Stegosaurus,Spike,15
Diplodocus,One-eye,29
Triceratops,Spiny,3
Allosaurus,One-eye,67
Velociraptor,Tiny,99
Diplodocus,Tiny,39
Stegosaurus,Tank,36
Spinosaurus,Cera,31
Ankylosaurus,Pterry,69
Brachiosaurus,Spiny,25
Spinosaurus,Tank,56
Allosaurus,Longneck,83
Triceratops,Cera,74
Stegosaurus,Pterry,54
Diplodocus,One-eye,8
Pterodactyl,Spike,21
Brachiosaurus,One-eye,99
Triceratops,Spike,14
Stegosaurus,Pterry,84
Allosaurus,Cera,76
Brachiosaurus,Spike,70
Velociraptor,Rex,30
Velociraptor,Rex,10
Ankylosaurus,Longneck,39
Diplodocus,One-eye,54
Triceratops,Tank,95
Allosaurus,Cera,76
Diplodocus,Spike,51
Allosaurus,Tiny,3
Ankylosaurus,Cera,64
Ankylosaurus,Cera,72
Diplodocus,Spike,62
Tyrannosaurus,Pterry,51
Ankylosaurus,Blue,9
Stegosaurus,Tank,16
Allosaurus,One-eye,50
Tyrannosaurus,Tiny,15
Ankylosaurus,One-eye,62
Pterodactyl,One-eye,9
Velociraptor,One-eye,98
Tyrannosaurus,Cera,38
Pterodactyl,Blue,41
Ankylosaurus,Pterry,79
Allosaurus,Pterry,73
Pterodactyl,Longneck,38
Triceratops,Pterry,41
Pterodactyl,Longneck,86
Triceratops,Spiny,35
Pterodactyl,Blue,8
Velociraptor,Pterry,2
Ankylosaurus,Spiny,12
Brachiosaurus,Tank,28
Allosaurus,Tank,48
Ankylosaurus,One-eye,15
Triceratops,Tiny,60
Spinosaurus,Tank,49
Ankylosaurus,Spike,13
Ankylosaurus,Cera,35
Brachiosaurus,Cera,19
Ankylosaurus,Tiny,39
Brachiosaurus,Spiny,73
Velociraptor,Spiny,34
Allosaurus,One-eye,33
Diplodocus,Pterry,81
Stegosaurus,Spiny,97
Allosaurus,Cera,86
Ankylosaurus,Spiny,82
Spinosaurus,Spiny,51
Tyrannosaurus,One-eye,69
Velociraptor,Tiny,67
Spinosaurus,Tank,35
Velociraptor,Cera,21
Brachiosaurus,Cera,13
Tyrannosaurus,Rex,16
Spinosaurus,Cera,91
Diplodocus,Pterry,29
Spinosaurus,Cera,57
Brachiosaurus,Tiny,59
Pterodactyl,Spiny,56
Brachiosaurus,Blue,81
Tyrannosaurus,Tiny,20
Diplodocus,Blue,95
Velociraptor,Tiny,39
Tyrannosaurus,Spike,95
Triceratops,Cera,34
Spinosaurus,Blue,0
Diplodocus,Spiny,63
Triceratops,Spiny,82
Pterodactyl,Tank,7
Velociraptor,One-eye,75
Brachiosaurus,Blue,67
Velociraptor,Tiny,27
Stegosaurus,Cera,75
Tyrannosaurus,Rex,16
Stegosaurus,Tiny,86
Velociraptor,Blue,54
Brachiosaurus,Blue,59
Ankylosaurus,Longneck,65
Allosaurus,Blue,95
Diplodocus,Blue,93
Triceratops,Longneck,16
Ankylosaurus,Blue,14
Allosaurus,Pterry,65
Velociraptor,Longneck,97
Stegosaurus,Blue,96
Spinosaurus,Blue,67
Stegosaurus,Longneck,94
Triceratops,Tank,89
Spinosaurus,Tank,69
Velociraptor,Cera,62
Diplodocus,Blue,79
Ankylosaurus,One-eye,65
Allosaurus,Rex,51
Brachiosaurus,Cera,37
Allosaurus,Tank,57
Spinosaurus,Spiny,60
Stegosaurus,Spiny,52
Triceratops,Tank,21
Stegosaurus,Blue,46
Triceratops,Tiny,33
Pterodactyl,Blue,55
Triceratops,Blue,95
Triceratops,Tiny,60
Diplodocus,One-eye,9
Brachiosaurus,Cera,82
Brachiosaurus,Spike,99
Pterodactyl,Spike,19
Brachiosaurus,Cera,80
Ankylosaurus,Cera,27
Stegosaurus,Longneck,82
Pterodactyl,Tank,17
Tyrannosaurus,Spike,2
Tyrannosaurus,Cera,42
Velociraptor,Spike,87
Diplodocus,Longneck,99
Diplodocus,Longneck,0
Triceratops,Rex,24
Ankylosaurus,Longneck,97
Pterodactyl,Pterry,51
Spinosaurus,Blue,55
Spinosaurus,Cera,76
Diplodocus,Pterry,12
Velociraptor,One-eye,82
Pterodactyl,Blue,64
Brachiosaurus,Longneck,79
Velociraptor,Tiny,56
Spinosaurus,Spiny,20
Spinosaurus,Longneck,40
Triceratops,Rex,34
Brachiosaurus,Blue,55
Pterodactyl,Tank,72
Stegosaurus,Longneck,84
Ankylosaurus,Spiny,43
Tyrannosaurus,Tank,10
Pterodactyl,Spike,25
Ankylosaurus,One-eye,28
Spinosaurus,Blue,69
Diplodocus,One-eye,21
Triceratops,Tank,50
Triceratops,Tiny,24
Ankylosaurus,Longneck,79
Tyrannosaurus,Spike,81
Tyrannosaurus,Blue,81
Allosaurus,Rex,82
Tyrannosaurus,Longneck,45
Tyrannosaurus,Cera,16
Allosaurus,One-eye,34
Allosaurus,Spiny,11
Triceratops,Tank,80
Allosaurus,Cera,61
Tyrannosaurus,Tank,31
Diplodocus,Rex,90
Stegosaurus,Cera,89
Ankylosaurus,Blue,69
Stegosaurus,Cera,39
Stegosaurus,Longneck,94
Velociraptor,Cera,46
Pterodactyl,Pterry,86
Allosaurus,Pterry,23
Triceratops,Cera,64
Tyrannosaurus,Tank,37
Spinosaurus,Longneck,77
Diplodocus,Spike,57
Velociraptor,Spiny,52
Stegosaurus,Spiny,54
Diplodocus,Longneck,46
Diplodocus,Longneck,81
Brachiosaurus,Pterry,61
Diplodocus,Cera,2
Triceratops,Pterry,22
Stegosaurus,Cera,66
Allosaurus,Spiny,92
Spinosaurus,Blue,18
Spinosaurus,Blue,73
Pterodactyl,Tank,6
Velociraptor,Tiny,64
Tyrannosaurus,Spike,50
Velociraptor,Blue,88
Triceratops,Longneck,38
Triceratops,Tank,82
Velociraptor,Spike,60
Diplodocus,Rex,55
Brachiosaurus,Tiny,64
Allosaurus,Blue,85
Pterodactyl,Rex,30
Tyrannosaurus,Spike,17
Diplodocus,Cera,62
Diplodocus,Rex,92
Velociraptor,Longneck,97
Velociraptor,Rex,23
Spinosaurus,One-eye,8
Brachiosaurus,Rex,32
Allosaurus,Spiny,11
Stegosaurus,Blue,58
Spinosaurus,Pterry,26
Pterodactyl,Spiny,95
Tyrannosaurus,Blue,18
Allosaurus,Tank,8
Diplodocus,Rex,32
Triceratops,Blue,32
Diplodocus,Rex,89
Brachiosaurus,One-eye,71
Spinosaurus,Pterry,11
Diplodocus,One-eye,57
Brachiosaurus,Longneck,40
Stegosaurus,Pterry,46
Ankylosaurus,Tiny,87
Velociraptor,Tiny,92
Tyrannosaurus,Rex,1
Allosaurus,Pterry,94
Pterodactyl,Tank,14
Stegosaurus,Spiny,66
Velociraptor,Rex,14
Pterodactyl,Tiny,7
Tyrannosaurus,Pterry,48
Stegosaurus,One-eye,66
Tyrannosaurus,Pterry,41
Tyrannosaurus,Spiny,71
Brachiosaurus,Blue,55
Pterodactyl,Pterry,63
Stegosaurus,Cera,54
Pterodactyl,Rex,75
Velociraptor,Tank,82
Pterodactyl,Cera,13
Triceratops,Cera,78
Spinosaurus,One-eye,1
Spinosaurus,Blue,29
Brachiosaurus,One-eye,13
Tyrannosaurus,Tank,31
Spinosaurus,Blue,13
Tyrannosaurus,Tank,69
Allosaurus,Spike,46
Diplodocus,Tiny,67
Ankylosaurus,Rex,63
Triceratops,Pterry,69
Stegosaurus,One-eye,70
Tyrannosaurus,Spike,87
Velociraptor,Spike,2
Ankylosaurus,One-eye,40
Spinosaurus,One-eye,42
Velociraptor,Cera,32
Triceratops,Rex,39
Stegosaurus,Cera,73
Ankylosaurus,Pterry,88
Brachiosaurus,One-eye,35
Tyrannosaurus,Blue,26
Brachiosaurus,Tiny,41
Allosaurus,Spiny,2
Velociraptor,Spike,87
Allosaurus,Blue,33
Spinosaurus,Spike,27
Ankylosaurus,Spiny,7
Spinosaurus,Rex,37
Brachiosaurus,One-eye,14
Ankylosaurus,Tank,73
Velociraptor,Cera,30
Diplodocus,Pterry,70
Pterodactyl,One-eye,5
Pterodactyl,Pterry,66
Triceratops,One-eye,17
Triceratops,Tank,65
Triceratops,Spiny,95
Velociraptor,Pterry,79
Stegosaurus,Blue,3
Ankylosaurus,One-eye,19
Spinosaurus,Cera,28
Triceratops,Blue,38
Tyrannosaurus,Longneck,2
Triceratops,Rex,27
Brachiosaurus,Spike,40
Ankylosaurus,Pterry,18
Tyrannosaurus,Rex,35
Brachiosaurus,Pterry,44
Diplodocus,Blue,85
Pterodactyl,Spike,77
Allosaurus,Pterry,56
Stegosaurus,Rex,51
Allosaurus,Cera,78
Ankylosaurus,Longneck,32
Ankylosaurus,One-eye,98
Spinosaurus,Rex,78
Allosaurus,Longneck,88
Spinosaurus,Longneck,75
Tyrannosaurus,Rex,73
Allosaurus,Longneck,99
Pterodactyl,Spiny,22
Ankylosaurus,Spike,70
Brachiosaurus,Longneck,42
Stegosaurus,Cera,32
Stegosaurus,Tiny,63
Stegosaurus,Blue,44
Triceratops,Tiny,62
Allosaurus,Spiny,76
Pterodactyl,Spiny,81
Triceratops,Tiny,92
Spinosaurus,Spike,11
Velociraptor,Tiny,27
Velociraptor,Tiny,78
Diplodocus,Tiny,63
Brachiosaurus,Tiny,48
Ankylosaurus,Tank,96
Ankylosaurus,Longneck,70
Tyrannosaurus,Cera,41
Diplodocus,Rex,62
Triceratops,Spike,22
Pterodactyl,Pterry,54
Tyrannosaurus,Spiny,80
Triceratops,Blue,57
Allosaurus,Spiny,55
Diplodocus,Rex,13
Diplodocus,One-eye,91
Allosaurus,Rex,85
Tyrannosaurus,Spiny,95
Allosaurus,Pterry,85
Pterodactyl,Blue,21
Triceratops,Spike,30
Diplodocus,Rex,26
Ankylosaurus,Rex,67
Stegosaurus,Cera,67
Tyrannosaurus,Rex,42
Allosaurus,Spiny,75
Spinosaurus,Pterry,30
Diplodocus,Longneck,68
Velociraptor,Spiny,66
Brachiosaurus,Spiny,14
Spinosaurus,One-eye,40
Spinosaurus,One-eye,44
Ankylosaurus,One-eye,86
Velociraptor,Cera,82
Triceratops,Cera,78
Allosaurus,Blue,96
Pterodactyl,Spiny,46
Velociraptor,Rex,64
Diplodocus,Tank,42
Brachiosaurus,Cera,59
Brachiosaurus,Tiny,17
Triceratops,Blue,79
Diplodocus,Longneck,6
Velociraptor,Blue,40
Stegosaurus,One-eye,55
Spinosaurus,One-eye,43
Brachiosaurus,Spiny,94
Allosaurus,Longneck,76
Velociraptor,One-eye,62
Spinosaurus,Pterry,16
Spinosaurus,Pterry,37
Pterodactyl,Tank,82
Brachiosaurus,Pterry,57
Tyrannosaurus,One-eye,74
Pterodactyl,Pterry,10
Brachiosaurus,Spike,41
Brachiosaurus,Longneck,59
Ankylosaurus,Spiny,12
Triceratops,Spiny,44
Stegosaurus,Spiny,76
Allosaurus,Rex,39
Velociraptor,Blue,8
Pterodactyl,Blue,74
Velociraptor,Spike,65
Ankylosaurus,Spiny,17
Ankylosaurus,Longneck,27
Triceratops,Spiny,7
Pterodactyl,One-eye,38
Velociraptor,Rex,83
Diplodocus,Tank,36
Brachiosaurus,One-eye,49
Stegosaurus,Cera,93
Brachiosaurus,Spike,50
Ankylosaurus,Rex,83
Stegosaurus,Blue,90
Spinosaurus,Blue,18
Velociraptor,Tiny,9
Stegosaurus,Spike,0
Stegosaurus,Cera,95
Diplodocus,Tiny,75
Triceratops,Tank,69
